"Statistics name :","Prefectural Data Basic Data"
"Table Number :","0000010101"
"Title :","[System of Social and Demographic Statistics] System of Social and Demographic Statistics A Population and Households"
"Implementation date :","-","-"
"Cities, Towns and Villages :","-"

"***","Data not available"
"-","Not applicable"
"X","Not available"

"","","","","","1975100000","1976100000","1977100000","1978100000","1979100000","1980100000","1981100000","1982100000","1983100000","1984100000","1985100000","1986100000","1987100000","1988100000","1989100000","1990100000","1991100000","1992100000","1993100000","1994100000","1995100000","1996100000","1997100000","1998100000","1999100000","2000100000","2001100000","2002100000","2003100000","2004100000","2005100000","2006100000","2007100000","2008100000","2009100000","2010100000","2011100000","2012100000","2013100000","2014100000","2015100000","2016100000"
"A Population and Households Code","A Population and Households","AREA Code","AREA","/SURVEY YEAR","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"A1101","A1101_Total population (Both sexes)[person]","30000","Wakayama-ken","","1,072,118","1,077,000","1,080,000","1,084,000","1,086,000","1,087,012","1,088,000","1,090,000","1,090,000","1,088,000","1,087,206","1,083,000","1,079,000","1,076,000","1,074,000","1,074,325","1,076,000","1,076,000","1,077,000","1,080,000","1,080,435","1,079,000","1,078,000","1,076,000","1,074,000","1,069,912","1,065,000","1,059,000","1,052,000","1,045,000","1,035,969","1,029,000","1,021,000","1,014,000","1,008,000","1,002,198","995,000","988,000","980,000","972,000","963,579","954,000"
"A1101","A1101_Total population (Both sexes)[person]","31000","Tottori-ken","","581,311","586,000","591,000","595,000","600,000","604,221","607,000","610,000","612,000","614,000","616,024","616,000","616,000","617,000","616,000","615,722","615,000","615,000","614,000","614,000","614,929","615,000","614,000","615,000","614,000","613,289","613,000","612,000","611,000","610,000","607,012","604,000","601,000","596,000","592,000","588,667","586,000","583,000","580,000","577,000","573,441","570,000"
"A1101","A1101_Total population (Both sexes)[person]","32000","Shimane-ken","","768,886","771,000","775,000","779,000","782,000","784,795","787,000","790,000","790,000","793,000","794,629","793,000","792,000","789,000","785,000","781,021","778,000","775,000","773,000","772,000","771,441","770,000","768,000","765,000","763,000","761,503","760,000","756,000","752,000","747,000","742,223","737,000","733,000","727,000","721,000","717,397","713,000","708,000","704,000","699,000","694,352","690,000"
"A1101","A1101_Total population (Both sexes)[person]","33000","Okayama-ken","","1,814,305","1,829,000","1,840,000","1,850,000","1,861,000","1,871,023","1,881,000","1,891,000","1,901,000","1,909,000","1,916,906","1,921,000","1,924,000","1,925,000","1,925,000","1,925,877","1,930,000","1,935,000","1,940,000","1,945,000","1,950,750","1,951,000","1,952,000","1,953,000","1,953,000","1,950,828","1,954,000","1,956,000","1,958,000","1,959,000","1,957,264","1,956,000","1,956,000","1,953,000","1,949,000","1,945,276","1,941,000","1,937,000","1,932,000","1,926,000","1,921,525","1,915,000"
"A1101","A1101_Total population (Both sexes)[person]","34000","Hiroshima-ken","","2,646,324","2,670,000","2,689,000","2,703,000","2,717,000","2,739,161","2,761,000","2,777,000","2,793,000","2,807,000","2,819,200","2,829,000","2,834,000","2,838,000","2,843,000","2,849,847","2,859,000","2,867,000","2,873,000","2,877,000","2,881,748","2,881,000","2,882,000","2,882,000","2,881,000","2,878,915","2,880,000","2,878,000","2,879,000","2,879,000","2,876,642","2,875,000","2,874,000","2,870,000","2,864,000","2,860,750","2,858,000","2,855,000","2,850,000","2,846,000","2,843,990","2,837,000"
"A1101","A1101_Total population (Both sexes)[person]","35000","Yamaguchi-ken","","1,555,218","1,564,000","1,573,000","1,579,000","1,583,000","1,587,079","1,592,000","1,597,000","1,600,000","1,601,000","1,601,627","1,598,000","1,592,000","1,587,000","1,581,000","1,572,616","1,569,000","1,565,000","1,561,000","1,559,000","1,555,543","1,550,000","1,545,000","1,540,000","1,535,000","1,527,964","1,523,000","1,517,000","1,510,000","1,502,000","1,492,606","1,484,000","1,476,000","1,466,000","1,459,000","1,451,338","1,444,000","1,434,000","1,425,000","1,415,000","1,404,729","1,394,000"
"A1101","A1101_Total population (Both sexes)[person]","36000","Tokushima-ken","","805,166","809,000","813,000","818,000","822,000","825,261","827,000","830,000","831,000","834,000","834,889","835,000","835,000","834,000","833,000","831,598","831,000","830,000","831,000","830,000","832,427","831,000","830,000","829,000","827,000","824,108","822,000","820,000","818,000","814,000","809,950","806,000","800,000","795,000","790,000","785,491","780,000","775,000","769,000","763,000","755,733","750,000"
"A1101","A1101_Total population (Both sexes)[person]","37000","Kagawa-ken","","961,292","970,000","979,000","986,000","993,000","999,864","1,005,000","1,010,000","1,014,000","1,018,000","1,022,569","1,024,000","1,024,000","1,025,000","1,023,000","1,023,412","1,023,000","1,024,000","1,025,000","1,026,000","1,027,006","1,027,000","1,026,000","1,025,000","1,025,000","1,022,890","1,022,000","1,020,000","1,018,000","1,016,000","1,012,400","1,009,000","1,006,000","1,003,000","999,000","995,842","992,000","989,000","985,000","980,000","976,263","972,000"
"A1101","A1101_Total population (Both sexes)[person]","38000","Ehime-ken","","1,465,215","1,476,000","1,486,000","1,493,000","1,500,000","1,506,637","1,512,000","1,517,000","1,522,000","1,526,000","1,529,983","1,528,000","1,525,000","1,522,000","1,519,000","1,515,025","1,513,000","1,511,000","1,508,000","1,508,000","1,506,700","1,505,000","1,503,000","1,501,000","1,496,000","1,493,092","1,490,000","1,485,000","1,481,000","1,475,000","1,467,815","1,460,000","1,453,000","1,445,000","1,438,000","1,431,493","1,424,000","1,415,000","1,406,000","1,396,000","1,385,262","1,375,000"
"A1101","A1101_Total population (Both sexes)[person]","39000","Kochi-ken","","808,397","814,000","819,000","824,000","829,000","831,275","833,000","836,000","838,000","839,000","839,784","838,000","836,000","833,000","830,000","825,034","822,000","819,000","817,000","817,000","816,704","816,000","816,000","816,000","815,000","813,949","812,000","810,000","806,000","802,000","796,292","790,000","783,000","775,000","769,000","764,456","758,000","751,000","743,000","736,000","728,276","721,000"
"A1101","A1101_Total population (Both sexes)[person]","40000","Fukuoka-ken","","4,292,963","4,353,000","4,411,000","4,460,000","4,506,000","4,553,461","4,594,000","4,632,000","4,667,000","4,697,000","4,719,259","4,741,000","4,756,000","4,773,000","4,793,000","4,811,050","4,834,000","4,859,000","4,885,000","4,909,000","4,933,393","4,952,000","4,971,000","4,990,000","5,002,000","5,015,699","5,030,000","5,039,000","5,045,000","5,050,000","5,049,908","5,057,000","5,061,000","5,062,000","5,064,000","5,071,968","5,081,000","5,089,000","5,096,000","5,099,000","5,101,556","5,104,000"
"A1101","A1101_Total population (Both sexes)[person]","41000","Saga-ken","","837,674","842,000","848,000","854,000","860,000","865,574","869,000","873,000","876,000","878,000","880,013","880,000","880,000","880,000","879,000","877,851","878,000","879,000","880,000","883,000","884,316","884,000","882,000","881,000","879,000","876,654","876,000","874,000","872,000","870,000","866,369","863,000","860,000","856,000","853,000","849,788","847,000","845,000","841,000","837,000","832,832","828,000"
"A1101","A1101_Total population (Both sexes)[person]","42000","Nagasaki-ken","","1,571,912","1,576,000","1,582,000","1,587,000","1,588,000","1,590,564","1,594,000","1,595,000","1,596,000","1,595,000","1,593,968","1,589,000","1,584,000","1,578,000","1,570,000","1,562,959","1,557,000","1,552,000","1,550,000","1,549,000","1,544,934","1,540,000","1,533,000","1,526,000","1,520,000","1,516,523","1,512,000","1,505,000","1,498,000","1,490,000","1,478,632","1,467,000","1,455,000","1,443,000","1,434,000","1,426,779","1,418,000","1,408,000","1,397,000","1,387,000","1,377,187","1,367,000"
